grizzli,resum,tb,panel,mont,subnet,snowboard,wart,steelhead,ctt,TargetClass
0,0,0,0.105863983968,0,0,0,0,0,0,canada-transportation-roads
0,0.0601082344041,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0,0.00727160103747,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0,0,0.118405613619,0,river-fishing
0,0,0,0,0,0,0.210876430087,0,0,0,snowboarding-skiing
0,0,0,0,0,0.14106083933,0,0,0,0,campuse-network
0,0.159110032246,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0.0589607922269,0,0.0683923557038,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0.00585767861352,0,0,0,winter-canada
0.0945758932932,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0.14106083933,0,0,0,0,campuse-network
0,0,0,0,0,0,0,0,0.0922641145084,0,river-fishing
0.0747201808891,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0.086513407215,0,0,0,snowboarding-skiing
0,0,0,0,0,0.113066368443,0,0,0,0,campuse-network
0,0,0,0,0,0,0.0301252042981,0,0,0,snowboarding-skiing
0.015027058601,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0.0269921830511,0,0,0,snowboarding-skiing
0,0,0,0,0.0457347864234,0,0.0265253371178,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0.0142967071245,0,0,0,snowboarding-skiing
0,0,0,0.198641530475,0,0,0,0,0,0,canada-transportation-roads
0.0415221356081,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0.0119949913445,0,0,0,0,0,0,0,0,career-services
0,0,0,0.00826565640592,0,0,0,0,0,0,river-rafting
0,0.0916905270571,0,0,0,0,0,0,0,0,career-services
0,0.0192517476739,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0,0,0.702408829947,0,0,health-services
0,0,0,0.132834942847,0,0,0,0,0,0,canada-transportation-roads
0,0,0,0,0,0.416461123764,0,0,0,0,campuse-network
0.037053021208,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0,0.060881692257,0,0,health-services
