grizzli,resum,tb,mont,panel,subnet,wart,ctt,steelhead,snowboard,resnet,nick,ip,router,bear,acn,ethernet,bac,cub,kenai,bandwidth,chickenpox,shipper,ci,server,heli,rail,isp,jig,storm,ist,shawn,cancer,amend,onet,spray,meter,telemark,infect,lactos,railway,txt,avg,cnag,genit,downsview,qualif,halibut,firewal,whistler,predatori,interconnect,deic,multicast,cast,cec,ccr,workgroup,merger,bacillu,windchil,verb,granular,laurentian,shingl,transport,latenc,ucist,freight,udap,ski,hpv,matt,lactas,refere,tremblant,deterr,rogu,devic,smoki,blizzard,rainfal,carcass,precipit,milk,snowsho,thunderstorm,pepper,skeena,std,predat,gauley,fibr,hiker,intoler,voyag,melanoma,fungicid,zambezi,polar,pop,atm,ping,mm,saltwat,appletalk,intermod,admin,odor,internship,packet,labrador,sow,angler,bass,sportfish,seaway,pregnanc,canada,rainbow,hibern,subsidiari,intestin,kalum,turf,domain,diseas,subscrib,skier,gigabit,appendix,cargo,attack,powder,summer,raft,cta,utp,den,coho,credenti,enthusiasm,chronic,skin,watt,cisco,lanc,enzym,kitimat,tyre,yakima,vertic,lesion,symptom,strome,rod,bacteria,klamath,constrain,demarc,immun,node,aviat,vendor,topolog,sauveur,crevass,bobber,bradley,plagiar,acet,rfp,dolli,vlan,yard,cm,snowfal,encount,skykomish,abdomin,archeri,mi,ozark,wenatche,habitu,bluff,passeng,paragraph,louis,defend,switch,snmp,untrust,maul,billion,claw,ranger,entrepreneur,spin,scar,TargetClass
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00664428722367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,career-services
0,0,0,0,0,0,0,0,0,0,0,0,0.0280514500837,0,0,0,0.0767833346422,0,0,0,0.0210203107813,0,0,0,0.0165333896752,0,0,0,0,0,0.0286746866412,0,0,0,0.0174324968176,0,0,0,0,0,0,0,0,0.0681710900077,0,0,0,0,0.0280148965208,0,0,0,0,0.0227236966692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249197430238,0,0,0,0,0,0,0,0,0,0,0.00350643126046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227236966692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420406215627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498394860476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171024819114,0,0,0,0,0,0,0,0.224119172167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00658031028692,0,0,0,0,0,0,0,0,0,campuse-network
0,0,0,0,0,0,0,0,0,0.0218734521486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303446469827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111218591424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,snowboarding-skiing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037869283394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,co-op
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282915133042,0,0,0.0242376309352,0,0,0,0,0,0,0,0.0260948680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663532701772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110684938583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358651116105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331766350886,0,0,0.00217669863359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884325649212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207715818696,0,0,0,0,0,0,0,0,0,campuse-network
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584746287702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,co-op
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126842889725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00737412190155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100265477142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808044522272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256038144009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,river-fishing
0.027557854351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158930086486,0,0,0,0.0564524255286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135927135327,0,0,0,0,0,0,0,0.0284048918383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652744572605,0,0,0,0,0,0,0,0,0,0,0,0.00329983537147,0,0,0,0,0,0.0543708541309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121385869066,0,0,0,0,black-bear-attack
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140339109048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,co-op
