bear,--,transport,ski,fish,panel,recommend,snowboard,employ,grizzli,TargetClass
0.0,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.0,0.0,river-fishing
0.171,0.012,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,black-bear-attack
0.335,0.013,0.013,0.0,0.011,0.0,0.011,0.0,0.0,0.016,black-bear-attack
0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.003,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.429,0.144,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.44,black-bear-attack
0.163,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.006,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,co-op
0.244,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.034,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,health-services
0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.068,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,career-services
0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.022,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.191,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,black-bear-attack
0.0,0.0,0.014,0.042,0.0,0.0,0.0,0.049,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,co-op
0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,0.0,co-op
0.0,0.0,0.0,0.0,0.428,0.0,0.01,0.0,0.0,0.0,river-fishing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.025,0.0,0.0,0.01,0.0,0.0,0.0,0.0,canada-transportation-roads
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,career-services
0.474,0.006,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.236,black-bear-attack
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.248,0.065,0.0,0.0,0.038,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,co-op
0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winter-canada
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river-rafting
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,co-op
0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,black-bear-attack
0.0,0.01,0.0,0.057,0.0,0.0,0.0,0.29,0.0,0.0,snowboarding-skiing
0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,career-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,health-services
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,co-op
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campuse-network
0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.008,0.0,river-rafting
